Web Category,Web Product,Web Price,Best App Match,App Category,App Price (current),Match Score,Status
Da Vinci Syrup,Da Vinci Blueberry Syrup (750ML),509,Blueberry,Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci Caramel Syrup (750ML),509,Caramel (750 ML),Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci English Toffee Syrup (750ML),509,Toffee,Da Vinci Syrup,509,0.33,SAME
Da Vinci Syrup,Da Vinci French Vanilla Syrup (750ML),509,Vanilla 750ML,Da Vinci Syrup,509,0.33,SAME
Da Vinci Syrup,Da Vinci Hazelnut Syrup (750ML),509,Hazelnut (750 ML),Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci Macadamia Nut Syrup (750ML),509,Macadamia,Da Vinci Syrup,509,0.33,SAME
Da Vinci Syrup,Da Vinci Mint Syrup (750ML),509,Mint,Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci Pecan Praline Mixologies (750ML),509,Pecan Praline,Da Vinci Syrup,509,1.00,SAME
Da Vinci Syrup,Da Vinci Peppermint Syrup (750ML),509,Peppermint,Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci Roasted Almond Syrup (750ML),509,Almond,Da Vinci Syrup,509,0.33,SAME
Da Vinci Syrup,Da Vinci Strawberry Syrup (750ML),509,Strawberry,Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci Vanilla Syrup (750ML),509,Vanilla 750ML,Da Vinci Syrup,509,0.50,SAME
Da Vinci Syrup,Da Vinci White Chocolate Syrup (750ML),509,White Chocolate,Da Vinci Syrup,509,0.67,SAME
Da Vinci Syrup,Da Vinci Shortbread Cookies Mixologies (750ML),509,Shortbread Cookies,Da Vinci Syrup,509,1.00,SAME
Da Vinci Syrup,Da Vinci Sugar Syrup (750ML),400,Sugar,Da Vinci Syrup,400,0.33,SAME
Dripp Flavours,Dripp Butterscotch Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,1.00,SAME
Dripp Flavours,Dripp Caramel Syrup (760ML),500,Caramel Syrup (760 ML),Dripp Flavours,500,1.00,SAME
Dripp Flavours,Dripp Cream Cheese Syrup (760ML),500,Cream Cheese,Dripp Flavours,500,0.67,SAME
Dripp Flavours,Dripp Hazelnut Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Lychee Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Palm Sugar Syrup (760ML),500,Palm Sugar 760ML,Dripp Flavours,500,0.67,SAME
Dripp Flavours,Dripp Passion Fruit Syrup (760ML),500,Passion Fruit,Dripp Flavours,500,0.67,SAME
Dripp Flavours,Dripp Yuzu Fruit Pulp (760ML),785,Yuzu Fruit,Dripp Flavours,785,0.67,SAME
Dripp Flavours,Dripp Caramel Sauce (500ML),580,Caramel Sauce (500 ML),Dripp Flavours,580,1.00,SAME
Dripp Flavours,Dripp Hazelnut Sauce (500ML),790,Hazelnut Sauce,Dripp Flavours,790,1.00,SAME
Dripp Flavours,Dripp Pandan Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Peach Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Pistachio Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Rose Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Strawberry Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Tiramisu Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Dripp Flavours,Dripp Vanilla Syrup (760ML),500,Butterscotch Syrup,Dripp Flavours,500,0.50,SAME
Full Cream Milk,Arla Full Cream Milk (12L),1120,Arla Full Cream Milk,Full Cream Milk,1120,1.00,SAME
Full Cream Milk,Arla Pro Barista Milk (10L),895,Arla Pro Barista Milk,Full Cream Milk,895,1.00,SAME
Full Cream Milk,Conaprole Full Cream Milk (12L),940,Conaprole Full Cream Milk,Full Cream Milk,940,1.00,SAME
Full Cream Milk,Emborg Full Cream Milk (12L),972,Emborg Full Cream Milk,Full Cream Milk,972,1.00,SAME
Full Cream Milk,Happy Barn Full Cream Milk 12L,924,Happy Barn Full Cream Milk,Full Cream Milk,924,1.00,SAME
Full Cream Milk,Jersey Full Cream Milk (12L),840,Jersey Full Cream Milk,Full Cream Milk,840,1.00,SAME
Full Cream Milk,Mlekovita Full Cream Milk (12L),1020,Mlekovita Full Cream Milk,Full Cream Milk,1020,1.00,SAME
Full Cream Milk,Yarra's Farm Master Barista Milk (12L),990,Yarra's Farm Master Barista Milk,Full Cream Milk,990,1.00,SAME
Full Cream Milk,Emborg Chef Selection Full Cream Milk (12L),892,Emborg Chef Selection Full Cream Milk,Full Cream Milk,892,1.00,SAME
Full Cream Milk,Laciate Full Cream Milk (12L),940,Laciate Full Cream Milk,Full Cream Milk,940,1.00,SAME
Full Cream Milk,Milklab Full Cream Milk (12L),1215,Milklab Full Cream Milk,Full Cream Milk,1215,1.00,SAME
MATCHA POWDER,Allegro Green Tea Matcha (1KG),850,Allegro Matcha Powder,MATCHA POWDER,850,0.50,SAME
MATCHA POWDER,Da Vinci Matcha Powder (1KG),1175,Da Vinci Matcha Powder,MATCHA POWDER,1175,1.00,SAME
MATCHA POWDER,Top Creamery Matcha Powder (1KG),475,Top Creamery Matcha Powder,MATCHA POWDER,475,1.00,SAME
Monin,Monin Mango Syrup (700ML),550,Mango Syrup,Monin,550,1.00,SAME
Monin,Monin Caramel Syrup (1L),760,Caramel Syrup (1 L),Monin,760,1.00,SAME
Non Dairy Creamer,Malaysian Non Dairy Creamer (1KG),155,Malaysian Non Dairy Creamer,Non Dairy Creamer,155,1.00,SAME
Others1,Banquet Dor Frozen Croissant,440,Frozen Croissant,Others1,440,0.50,SAME
Others1,Mosa Cream Chargers (10PCS),195,Cream Chargers,Others1,195,0.67,SAME
Others1,Da Vinci Sauce Pump 15ml,380,Sauce Pump,Others1,380,1.00,SAME
Others1,Da Vinci Syrup Pump 7.5ml,380,Syrup Pump,Others1,380,1.00,SAME
Others1,Mosa Soda Chargers (10PCS),195,Soda Chargers,Others1,195,0.67,SAME
Plant Based Milk,Farm Fresh Oat Barista Milk(1L),99,Farm Fresh Oat Barista Milk,Plant Based Milk,99,1.00,SAME
Plant Based Milk,Freenow Coconut Milk (1L),169,Freenow Coconut Milk,Plant Based Milk,169,1.00,SAME
Plant Based Milk,Milklab Almond,185,Milklab Almond,Plant Based Milk,185,1.00,SAME
Plant Based Milk,Milklab Soy Milk (1L),199,Milklab Soy Milk,Plant Based Milk,199,1.00,SAME
Plant Based Milk,Oatbedient Artisan Oatmilk Barista,130,Oatbedient Artisan Oatmilk Barista,Plant Based Milk,130,1.00,SAME
Plant Based Milk,Oatbedient Oat Milk Barista (1L),170,Oatbedient Oat Milk Barista,Plant Based Milk,170,1.00,SAME
Plant Based Milk,Oatside Barista Blend Oatmilk (1L),145,Oatside Barista Blend Oatmilk,Plant Based Milk,145,1.00,SAME
Plant Based Milk,Milklab Oat Milk (1L),164,Milklab Oat Milk,Plant Based Milk,164,1.00,SAME
Plant Based Milk,Oatside Chocolate Oatmilk (1L),165,Oatside Chocolate Oatmilk,Plant Based Milk,165,1.00,SAME
Plant Based Milk,So Good Oat Barista (1L),230,So Good Oat Barista,Plant Based Milk,230,1.00,SAME
Spread_Jams_Biscuits,DLA Lafruta Blueberry (610G),420,DLA Lafruta Blueberry,Spread_Jams_Biscuits,420,1.00,SAME
Spread_Jams_Biscuits,DLA Lafruta Strawberry (610G),240,DLA Lafruta Strawberry,Spread_Jams_Biscuits,240,1.00,SAME
Spread_Jams_Biscuits,DLA Pistachio Filling (1KG),2091,DLA Pistachio Filling,Spread_Jams_Biscuits,2091,1.00,SAME
Spread_Jams_Biscuits,Doking Mango Jam (3KG),345,Doking Mango Jam,Spread_Jams_Biscuits,345,1.00,SAME
Spread_Jams_Biscuits,Doking Strawberry Jam (3KG),345,Doking Strawberry Jam,Spread_Jams_Biscuits,345,1.00,SAME
Spread_Jams_Biscuits,Jersey Industrial Cheese (2KG),372,Jersey Industrial Cheese,Spread_Jams_Biscuits,372,1.00,SAME
Spread_Jams_Biscuits,La Ricetta Speculoos Biscuits (200G),105,La Ricetta Speculoos Biscuits,Spread_Jams_Biscuits,105,0.75,SAME
Spread_Jams_Biscuits,La Ricetta Speculoos Creamy Spread (400G),324,La Ricetta Speculoos Creamy Spread,Spread_Jams_Biscuits,324,1.00,SAME
Spread_Jams_Biscuits,Lotus Biscoff biscuits (250G),190,Lotus Biscoff biscuits,Spread_Jams_Biscuits,190,1.00,SAME
Spread_Jams_Biscuits,Lotus Biscoff Cookie Crumbs (750G),535,Lotus Biscoff Cookie Crumbs,Spread_Jams_Biscuits,535,1.00,SAME
Spread_Jams_Biscuits,Lotus Biscoff Crunchy Spread (380G),335,Lotus Biscoff Crunchy Spread,Spread_Jams_Biscuits,335,1.00,SAME
Spread_Jams_Biscuits,Lotus Biscoff Smooth Spread (3KG),2650,Lotus Biscoff Smooth Spread,Spread_Jams_Biscuits,2650,1.00,SAME
Spread_Jams_Biscuits,Lotus Biscoff Topping Sauce (1KG),1050,Lotus Biscoff Topping Sauce,Spread_Jams_Biscuits,1050,1.00,SAME
Spread_Jams_Biscuits,Magnolia Cheese Sauce (2.5KG),530,Magnolia Cheese Sauce,Spread_Jams_Biscuits,530,1.00,SAME
Spread_Jams_Biscuits,Master Martini Gran Delice Pistachio Creamy Spread (1KG),899,Master Martini Gran Delice Pistachio Creamy Spread,Spread_Jams_Biscuits,899,1.00,SAME
Spread_Jams_Biscuits,Maulin Coffee Jelly (3.3 KG),644,Maulin Coffee Jelly,Spread_Jams_Biscuits,644,1.00,SAME
Spread_Jams_Biscuits,Milin Crystal Jelly (2.5KG),310,Milin Crystal Jelly,Spread_Jams_Biscuits,310,1.00,SAME
Spread_Jams_Biscuits,Milin Nata Jelly (2.5KG),287,Milin Nata Jelly,Spread_Jams_Biscuits,287,1.00,SAME
Spread_Jams_Biscuits,Nutella Ferrero Food Service (3KG),1855,Nutella Ferrero Food Service,Spread_Jams_Biscuits,1855,1.00,SAME
Spread_Jams_Biscuits,Oreo Crushed Cookie (454G),200,Oreo Crushed Cookie,Spread_Jams_Biscuits,200,1.00,SAME
Spread_Jams_Biscuits,Doking Blueberry Jam (3KG),345,Doking Blueberry Jam,Spread_Jams_Biscuits,345,1.00,SAME
Top Creamery,Barista Supreme Doppio Chocolate Powder (750G),572,Supreme Doppio Chocolate Powder,Top Creamery,572,0.80,SAME
Top Creamery,Top Creamery Brown Sugar Syrup (750ML),243,Brown Sugar Syrup,Top Creamery,243,1.00,SAME
Top Creamery,Top Creamery Caramel Syrup (750ML),264,Caramel Syrup (750 ML) - Top Creamery,Top Creamery,264,1.00,SAME
Top Creamery,Top Creamery Cookies & Cream Powder (1KG),395,Cookies & Cream Powder,Top Creamery,395,1.00,SAME
Top Creamery,Top Creamery Creamy Vanilla Syrup (750ML),270,Creamy Vanilla Syrup,Top Creamery,270,1.00,SAME
Top Creamery,Top Creamery Frappe Base (1KG),330,Frappe Base,Top Creamery,330,1.00,SAME
Top Creamery,Top Creamery Hazelnut Syrup (750ML),280,Hazelnut Syrup (750 ML) - Top Creamery,Top Creamery,280,1.00,SAME
Top Creamery,Top Creamery Salted Cheese Foam (1KG),435,Salted Cheese Foam,Top Creamery,435,1.00,SAME
Top Creamery,Top Creamery Ube Powder (1KG),310,Ube Powder,Top Creamery,310,1.00,SAME
Top Creamery,Top Creamery Ube Syrup,340,Ube Syrup,Top Creamery,340,1.00,SAME
Top Creamery,Top Creamery Chocolate Syrup (750ML),324,Chocolate Syrup 750ML,Top Creamery,324,1.00,SAME
Top Creamery,Top Creamery Espresso Syrup (750ML),470,Espresso Syrup,Top Creamery,470,1.00,SAME
Torani,Torani Almond Roca Syrup (750ML),530,Almond Roca,Torani,530,0.67,SAME
Torani,Torani Butterscotch Syrup (750ML),530,Butterscotch,Torani,530,0.50,SAME
Torani,Torani Caramel Sauce (1.89L),1250,Caramel Sauce (1.89 L),Torani,1250,1.00,SAME
Torani,Torani Caramel Sauce Small (16.5 OZ),450,Caramel Sauce 16.5OZ,Torani,450,0.67,SAME
Torani,Torani Caramel Syrup (750ML),530,Caramel Syrup (750 ML) - Torani,Torani,530,1.00,SAME
Torani,Torani Chocolate Sauce Small (16.5OZ),470,Chocolate Sauce 16.5OZ,Torani,470,0.67,SAME
Torani,Torani Coconut Syrup (750ML),530,Coconut Syrup,Torani,530,1.00,SAME
Torani,Torani Dark Chocolate Sauce (1.89L),1160,Dark Chocolate,Torani,1160,0.67,SAME
Torani,Torani English Toffee Syrup (750ML),530,English Toffee Syrup,Torani,530,1.00,SAME
Torani,Torani French Vanilla Syrup (750ML),530,French Vanilla Syrup,Torani,530,1.00,SAME
Torani,Torani Hazelnut Syrup (750ML),530,Hazelnut Syrup (750 ML) - Torani,Torani,530,1.00,SAME
Torani,Torani Lemon Syurp (750ML),530,Lemon Syrup,Torani,530,0.50,SAME
Torani,Torani Peppermint Syrup (750ML),530,Peppermint Syrup,Torani,530,1.00,SAME
Torani,Torani Pumpkin Spice Syrup (750ML),530,Pumpkin Spice Syrup,Torani,530,1.00,SAME
Torani,Torani Salted Caramel Syrup (750ML),530,Caramel Syrup (750 ML) - Torani,Torani,530,0.67,SAME
Torani,Torani Strawberry Puree Blend (64OZ),2000,Strawberry Puree 64OZ,Torani,2000,0.67,SAME
Torani,Torani Strawberry Syurp (750ML),530,Strawberry Syrup,Torani,530,0.50,SAME
Torani,Torani Vanilla Syrup (750ML),530,Vanilla Syrup,Torani,530,1.00,SAME
Torani,Torani White Chocolate Sauce (1.89L),1200,White Chocolate Sauce,Torani,1200,1.00,SAME
Torani,Torani White Chocolate Sauce Small (16.5 OZ),470,Chocolate Sauce 16.5OZ,Torani,470,0.50,SAME
Torani,Torani Brown Sugar Cinnamon Syrup (750ML),530,Brown Sugar Cinnamon Syrup,Torani,530,1.00,SAME
Torani,Torani Creme De Menthe Syrup (750ML),530,Creme De Menthe Syrup,Torani,530,1.00,SAME
Torani,Torani Toasted Marshmallow Syrup (750ML),530,Toasted Marshmallow,Torani,530,0.67,SAME
Whip Cream,Everwhip Nondairy Whipping Cream (1L),215,Ever-Whip,Whip Cream,215,0.00,SAME
Whip Cream,Vivo Ambient Cream (1L),195,Vivo,Whip Cream,195,0.33,SAME
Baking Chocolate,Beryl's Dark Chocolate Chips (1KG),364,Beryl's Dark Chocolate (1 KG),Baking Chocolate,365,0.75,NEEDS REVIEW (low/ambiguous name match)
Da Vinci Sauces,Da Vinci Cheesecake Sauce (2L),1080,Butterscotch Sauce,Da Vinci Sauces,1070,0.50,NEEDS REVIEW (low/ambiguous name match)
Dripp Flavours,Dripp Osmanthus Syrup (760ML),785,Butterscotch Syrup,Dripp Flavours,500,0.50,NEEDS REVIEW (low/ambiguous name match)
Full Cream Milk,Arla Pro Barista Milk (12L),1074,Arla Full Cream Milk,Full Cream Milk,1120,0.50,NEEDS REVIEW (low/ambiguous name match)
Spread_Jams_Biscuits,Lotus Biscoff Smooth Spread (400G),350,La Ricetta Speculoos Creamy Spread,Spread_Jams_Biscuits,324,0.25,NEEDS REVIEW (low/ambiguous name match)
Top Creamery,Top Creamery Salted Caramel Syrup (750ML),270,Caramel Syrup (750 ML) - Top Creamery,Top Creamery,264,0.67,NEEDS REVIEW (low/ambiguous name match)
Spread_Jams_Biscuits,Lotus Biscoff Crunchy Spread (720G),592,,,,0.00,NO APP MATCH
Spread_Jams_Biscuits,Lotus Biscoff Smooth (720G),592,,,,0.00,NO APP MATCH

# APP PRODUCTS WITH NO CLEAR WEBSITE MATCH (41 of 192)
# No Sylver site product scored >= 0.55 (name/size/brand aware) — may be missing from the
# site, or named differently there (e.g. app "Macadamia" vs site "Macadamia Nut Syrup").
App Product,App Category,App Price (current),Size,Status
Black Tea,Da Vinci BeverageMix,620,1 L,NO WEBSITE MATCH
Mixed Berries,Da Vinci BeverageMix,620,1 L,NO WEBSITE MATCH
Strawberry Fruit,Da Vinci BeverageMix,620,1 L,NO WEBSITE MATCH
Chocolate Sipping,Da Vinci Powders,1175,1 KG,NO WEBSITE MATCH
Caramel (500 ML),Da Vinci Sauces,320,500 ML,NO WEBSITE MATCH
Cheesecake,Da Vinci Sauces,1080,2 L,NO WEBSITE MATCH
Chocolate,Da Vinci Sauces,320,500 ML,NO WEBSITE MATCH
Gourmet Pistachio,Da Vinci Sauces,935,1 L,NO WEBSITE MATCH
Pandan,Da Vinci Sauces,580,1 L,NO WEBSITE MATCH
Vanilla Bean,Da Vinci Sauces,1130,2 L,NO WEBSITE MATCH
Macadamia,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Almond,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Blueberry,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Caramel (750 ML),Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Hazelnut (750 ML),Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Mint,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Peppermint,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Strawberry,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Sugar,Da Vinci Syrup,400,750 ML,NO WEBSITE MATCH
Toffee,Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Vanilla 750ML,Da Vinci Syrup,509,,NO WEBSITE MATCH
Vanilla (750 ML),Da Vinci Syrup,509,750 ML,NO WEBSITE MATCH
Hazelnut (760 ML),Dripp Flavours,500,760 ML,NO WEBSITE MATCH
Lychee,Dripp Flavours,500,760 ML,NO WEBSITE MATCH
Osmanthus,Dripp Flavours,785,760 ML,NO WEBSITE MATCH
Pandan 760ML,Dripp Flavours,500,,NO WEBSITE MATCH
Peach 760ML,Dripp Flavours,500,,NO WEBSITE MATCH
Pistachio,Dripp Flavours,500,760 ML,NO WEBSITE MATCH
Rose,Dripp Flavours,500,760 ML,NO WEBSITE MATCH
Strawberry 760ML,Dripp Flavours,500,,NO WEBSITE MATCH
Tiramisu 760ML,Dripp Flavours,500,,NO WEBSITE MATCH
Vanilla (760 ML),Dripp Flavours,500,760 ML,NO WEBSITE MATCH
Allegro Matcha Powder,MATCHA POWDER,850,,NO WEBSITE MATCH
Brew with Sylver,Others,300,,NO WEBSITE MATCH
Frozen Croissant,Others1,440,,NO WEBSITE MATCH
Butterscotch,Torani,530,750 ML,NO WEBSITE MATCH
Lemon Syrup,Torani,530,750 ML,NO WEBSITE MATCH
Strawberry Syrup,Torani,530,750 ML,NO WEBSITE MATCH
White Chocolate 16.5OZ,Torani,470,16.5 OZ,NO WEBSITE MATCH
Ever-Whip,Whip Cream,215,,NO WEBSITE MATCH
Vivo,Whip Cream,195,,NO WEBSITE MATCH
